Pozo,Latitude,Longitude
5 PRESIDENTES-12,18.196473,-93.995179
5 PRESIDENTES-143,18.220522,-94.010978
5 PRESIDENTES-145D,18.218615,-94.013999
5 PRESIDENTES-151,18.206816,-94.012768
5 PRESIDENTES-151D,18.206914,-94.012767
5 PRESIDENTES-153,18.205915,-94.014436
5 PRESIDENTES-153T,18.206011,-94.014442
5 PRESIDENTES-157,18.204786,-94.00961
5 PRESIDENTES-160T,18.203193,-94.012765
5 PRESIDENTES-164,18.201482,-94.012998
5 PRESIDENTES-165,18.200316,-94.011413
5 PRESIDENTES-170,18.207413,-94.004465
5 PRESIDENTES-173D,18.209318,-94.008888
5 PRESIDENTES-181,18.199437,-94.009801
5 PRESIDENTES-2,18.198059,-94.018297
5 PRESIDENTES-28,18.196676,-94.008241
5 PRESIDENTES-29C,18.200265,-94.008137
5 PRESIDENTES-43D,18.192751,-94.001866
5 PRESIDENTES-63,18.20907,-93.997783
5 PRESIDENTES-67,18.212596,-94.004172
5 PRESIDENTES-68,18.210902,-94.001111
5 PRESIDENTES-71T,18.207867,-94.020845
5 PRESIDENTES-7D,18.173133,-94.012306
5 PRESIDENTES-7T,18.202291,-94.011549
5 PRESIDENTES-803,18.203199,-94.012942
5 PRESIDENTES-901,18.199842,-94.016527
5 PRESIDENTES-902,18.199764,-94.016619
5 PRESIDENTES-903,18.199769,-94.01678
5 PRESIDENTES-904,18.199692,-94.016879
5 PRESIDENTES-905,18.216842,-94.011051
5 PRESIDENTES-906,18.200459,-94.008123
5 PRESIDENTES-908,18.203299,-94.012787
5 PRESIDENTES-908D,18.203297,-94.0125721
5 PRESIDENTES-909,18.203415,-94.0128036
5 PRESIDENTES-909D,18.203816,-94.0132015
5 PRESIDENTES-910,18.203532,-94.0128186
5 PRESIDENTES-911,18.200738,-94.0080601
5 PRESIDENTES-912,18.208989,-94.0074505
5 PRESIDENTES-913,18.203414,-94.0126666
5 PRESIDENTES-914,18.199615,-94.0166116
5 PRESIDENTES-915,18.209108,-94.0071958
5 PRESIDENTES-916,18.199615,-94.0166116
5 PRESIDENTES-917,18.199615,-94.0169721
5 PRESIDENTES-918,18.205771,-94.0110037
5 PRESIDENTES-919,18.159072,-94.0397173
5 PRESIDENTES-920,18.146872,-94.0368357
5 PRESIDENTES-921,18.205744,-94.010884
5 PRESIDENTES-922,18.203487,-94.01302024
5 PRESIDENTES-923,18.158537,-94.0388952
5 PRESIDENTES-924,18.158537,-94.0388952
5 PRESIDENTES-928,18.159161,-94.0395833
5 PRESIDENTES-929,18.158809,-94.039431
5 PRESIDENTES-930,18.152723,-94.03965981
5 PRESIDENTES-931,18.158359,-94.0387205
5 PRESIDENTES-932,18.159078,-94.03949671
5 PRESIDENTES-935,18.146636,-94.0368317
5 PRESIDENTES-936,18.146519,-94.03683016
5 PRESIDENTES-937,18.1464,-94.0368294
5 PRESIDENTES-938,18.152588,-94.03965788
5 PRESIDENTES-939,18.146454,-94.036697
5 PRESIDENTES-950,18.159413,-94.0403189
5 PRESIDENTES-956,18.152453,-94.03965586
5 PRESIDENTES-957,18.152317,-94.0396545
5 PRESIDENTES-958,18.146755,-94.03683335
5 PRESIDENTES-959,18.14657294,-94.0366036
5 PRESIDENTES-963,18.158995,-94.03941019
ACAHUAL-1,17.829008,-92.357289
AGAVE-242,17.724576,-92.877107
AGAVE-303,17.729478,-92.868112
AGAVE-512,17.744388,-92.905835
AGAVE-52,17.752594,-92.910561
AGAVE-611,17.752673,-92.89163
AGAVE-612,17.739527,-92.896247
AGAVE-62,17.744718,-92.905846
AGAVE-65,17.744579,-92.877722
AGAVE-721,17.742236,-92.900977
ARROYO PRIETO-11,17.9240888,-93.75927809
ARROYO PRIETO-13,17.92418929,-93.7592145
ARROYO PRIETO-14,17.923306,-93.7623169
ARROYO PRIETO-15,17.92428986,-93.75915101
ARROYO PRIETO-17,17.923305,-93.762208
ARROYO PRIETO-18,17.9251151,-93.7589396
ARROYO PRIETO-20,17.92410531,-93.75912417
ARROYO PRIETO-2D,17.919751,-93.761949
ARROYO PRIETO-3,17.923311,-93.755668
ARROYO PRIETO-8,17.92313963,-93.76226741
ARROYO ZANAPA-201,17.83931358,-93.31833779
ARTESA T-351,17.73122357,-93.13808748
ARTESA T-352,17.7313906,-93.13823371
ARTESA T-354,17.73221958,-93.13462465
ARTESA T-355,17.73114699,-93.13874369
ARTESA T-356,17.73114671,-93.13914841
ARTESA T-357,17.73261672,-93.13457081
ARTESA T-358,17.73119115,-93.13817545
ARTESA T-359,17.73133626,-93.13838457
ARTESA T-360,17.73090679,-93.13826738
ARTESA T-361,17.7319292,-93.13467867
ARTESA T-362,17.73134255,-93.13908339
ARTESA T-363,17.73150575,-93.13902041
ARTESA T-364,17.73150568,-93.13886988
ARTESA T-365,17.73090679,-93.13826738
ARTESA T-366,17.73136147,-93.13866246
ARTESA T-367,17.73150596,-93.13871897
ARTESA T-368,17.724497,-93.13486373
ARTESA T-370,17.72427396,-93.13492421
ARTESA T-371,17.73209673,-93.13463211
ARTESA T-372,17.73225384,-93.13435219
ARTESA T-374,17.73238857,-93.13429759
ARTESA T-375,17.73252411,-93.13424355
ARTESA T-376,17.72409344,-93.13493492
ARTESA T-377,17.72390783,-93.1348515
ARTESA T-378,17.73227328,-93.13475174
ARTESA T-379,17.72382126,-93.13441485
ARTESA T-380,17.73147017,-93.13468823
ARTESA T-381,17.73130145,-93.13475592
ARTESA T-382,17.73211813,-93.13440595
ARTESA T-383,17.73127294,-93.13507045
ARTESA T-384,17.73507145,-93.1382072
ARTESA T-385,17.71954922,-93.14316349
ARTESA T-386,17.71985462,-93.14321353
ARTESA T-393,17.73144166,-93.13500276
ARTESA T-394,17.73161048,-93.13493507
ARTESA T-395,17.73500007,-93.1380301
ARTESA T-402,17.73163899,-93.13462045
ARTESA-24,17.71995457,-93.15910756
ARTESA-26,17.72013699,-93.15921156
ARTESA-62,17.71574449,-93.15156203
AYAPA-21,18.195629,-93.118361
AYOCOTE-1,17.885845,-93.81774501
AYOCOTE-10,17.88451049,-93.8181277
AYOCOTE-11,17.884608,-93.8182225
AYOCOTE-12,17.88432101,-93.81792059
AYOCOTE-13,17.892859,-93.8143265
AYOCOTE-14,17.8842131,-93.8179092
AYOCOTE-16,17.878939,-93.8147041
AYOCOTE-17,17.87919955,-93.81509238
AYOCOTE-18,17.892481,-93.8141701
AYOCOTE-2,17.88390608,-93.81742011
AYOCOTE-24,17.884553,-93.8183179
AYOCOTE-27,17.892607,-93.814219
AYOCOTE-3,17.88404212,-93.81773855
AYOCOTE-4,17.88374522,-93.81745591
AYOCOTE-5,17.87920862,-93.81508298
AYOCOTE-7,17.88441585,-93.81802164
AYOCOTE-9,17.87909981,-93.81516744
BACAL-1003,17.89480198,-93.94332312
BACAL-12,17.807683,-93.952663
BACAL-1606,17.80256444,-93.94950745
BACAL-3,17.807699,-93.946139
BACAL-42,17.796767,-93.952586
BACAL-503,17.793216,-93.95057
BACAL-505,17.793306,-93.950477
BACAL-507,17.80563813,-93.94949918
BACAL-508,17.79356521,-93.95060158
BACAL-511,17.79530007,-93.9430268
BACAL-512,17.79544118,-93.94291066
BACAL-513,17.79528122,-93.9428867
BACAL-515,17.79522157,-93.94266129
BACAL-516,17.80759504,-93.94619196
BACAL-53,17.818544,-93.946162
