UWI,FECHA,ACEITE,GAS,AGUA
BR819,01/05/1965,1785,0,0
AB257,01/11/1973,26550,22470,0
TR758,01/11/1973,122600,112100,0
ON369,01/11/1973,65134,36450,0
DS652,01/11/1973,61277,60180,0
CC782,01/11/1973,30104,21750,0
YP570,01/11/1973,41720,35350,0
TF413,01/11/1973,795,1130,0
TF335,01/11/1973,32780,23690,0
BR819,01/11/1973,92363,72450,0
BR710,01/11/1973,32634,23230,0
AB494,01/11/1973,57372,34780,0
DS527,01/11/1973,22434,17600,0
CC504,01/11/1973,27840,29500,0
DS241,01/11/1973,40791,28840,0
BR118,01/11/1973,24032,16480,0
TR791,01/11/1973,69407,45050,0
YP676,01/11/1973,45136,35340,0
TF143,01/11/1973,99506,72090,0
CC636,01/11/1973,24250,22040,0
ON394,01/11/1973,127191,93060,0
BR312,01/11/1973,63903,56260,0
BR704,01/11/1973,49770,35520,0
TF359,01/11/1973,1849,1720,0
RK403,01/11/1973,101200,58480,0
CC782,01/12/1973,20055,16050,0
CC636,01/12/1973,40772,33060,0
BR819,01/12/1973,46135,39600,0
BR704,01/12/1973,20174,19440,0
TR758,01/12/1973,39276,35650,0
BR710,01/12/1973,25320,20900,0
TR791,01/12/1973,20638,16380,0
ON369,01/12/1973,27436,22880,0
TF143,01/12/1973,153680,94500,0
AB257,01/12/1973,27150,17600,0
TR791,01/01/1974,480759,452400,0
BR710,01/01/1974,433258,435660,0
ON369,01/01/1974,436727,354000,0
BR819,01/01/1974,711262,453220,0
DS652,01/01/1974,244911,196940,0
TF740,01/01/1974,19180,4050,0
AB257,01/01/1974,470250,335920,0
CC636,01/01/1974,434361,339840,0
DS241,01/01/1974,494022,401310,0
BR704,01/01/1974,513175,383800,0
YP676,01/01/1974,151181,140000,0
AB494,01/01/1974,123407,123600,0
DS698,01/01/1974,1900,0,0
TR758,01/01/1974,807612,473860,0
TF740,01/01/1974,11829,840,0
RK403,01/01/1974,292122,203810,0
RK345,01/01/1974,5551,4720,0
CC504,01/01/1974,240777,154560,0
BR312,01/01/1974,226964,224000,0
TF335,01/01/1974,216425,127880,0
CC782,01/01/1974,209049,156600,0
ON394,01/01/1974,401876,260000,0
YP570,01/01/1974,207770,195030,0
AB257,01/02/1974,645141,392490,0
RK345,01/02/1974,156321,124320,0
CC636,01/02/1974,744239,574770,0
TF740,01/02/1974,350764,276000,0
AB494,01/02/1974,456359,462560,0
ON394,01/02/1974,358740,277000,0
YP676,01/02/1974,467731,317000,0
RK403,01/02/1974,565105,467620,0
TR758,01/02/1974,475585,388080,0
TR791,01/02/1974,320453,226950,0
DS652,01/02/1974,629487,439950,0
DS698,01/02/1974,42622,38110,0
BR819,01/02/1974,594755,497280,0
BR710,01/02/1974,405819,253530,0
DS241,01/02/1974,318561,336300,0
CC504,01/02/1974,837149,680680,0
ON369,01/02/1974,576708,496850,0
BR312,01/02/1974,267572,173810,0
TF335,01/02/1974,585663,444150,0
BR704,01/02/1974,294424,217620,0
YP570,01/02/1974,435105,370500,0
TR791,01/03/1974,492924,384420,0
RK403,01/03/1974,753324,617100,0
BR710,01/03/1974,603335,517750,0
DS241,01/03/1974,481378,298080,0
TF740,01/03/1974,916335,707600,0
TF335,01/03/1974,360901,267200,0
BR704,01/03/1974,547463,469700,0
AB257,01/03/1974,812120,738990,0
BR312,01/03/1974,181305,147900,0
YP676,01/03/1974,545950,296000,0
AB494,01/03/1974,203356,131320,0
BR819,01/03/1974,753074,656180,0
DS652,01/03/1974,965474,708480,0
YP570,01/03/1974,943158,530370,0
ON369,01/03/1974,991350,693000,0
DS698,01/03/1974,89121,59760,0
CC504,01/03/1974,102996,72240,0
CC636,01/03/1974,761401,700960,0
RK345,01/03/1974,352165,159900,0
ON394,01/03/1974,454660,411070,0
TF143,01/03/1974,70199,38880,0
TR758,01/03/1974,881797,574740,0
AB257,01/04/1974,618617,421330,0
DS698,01/04/1974,512731,391830,0
YP570,01/04/1974,638361,598130,0
BR312,01/04/1974,398837,214400,0
BR118,01/04/1974,95,0,0
TR791,01/04/1974,774086,603570,0
BR819,01/04/1974,551711,493830,0
TR758,01/04/1974,859512,667800,0
